"","WINS","bt_H","bt_2B","bt_3B","bt_HR","bt_BB","bt_SO","br_SB","br_CS","ph_H","ph_HR","ph_BB","ph_SO","fd_E","fd_DP","bt_1B","BB"
"323",61,1449,300,73,29,434,520,89,84,1524,31,457,547,229,167,1047,0.949671772428884
"324",55,1465,270,72,49,377,581,44,37,1541,52,397,611,204,169,1074,0.949622166246851
"325",45,1400,266,60,56,493,567,48,48,1473,59,519,596,243,174,1018,0.94990366088632
"326",68,1530,320,61,54,571,504,63,40,1663,59,621,548,224,145,1095,0.919484702093398
"327",81,1561,306,75,54,650,570,124,50,1664,58,693,608,201,150,1126,0.937950937950938
"328",83,1544,298,67,73,645,498,96,62,1635,77,683,527,201,144,1106,0.944363103953148
"329",78,1562,303,65,90,614,489,58,46,1643,95,646,514,170,146,1104,0.95046439628483
"330",85,1605,287,68,107,641,594,84,65,1711,114,683,633,187,148,1143,0.938506588579795
"331",96,1703,324,61,107,707,503,60,55,1852,116,769,547,203,187,1211,0.919375812743823
"332",95,1655,308,61,133,634,542,45,47,1776,143,680,581,192,158,1153,0.932352941176471
"333",86,1647,317,84,153,621,628,58,52,1733,161,653,661,182,164,1093,0.950995405819296
"334",72,1400,238,45,61,518,630,92,65,1492,65,552,671,163,191,1056,0.938405797101449
"335",81,1532,291,59,73,549,531,63,42,1612,77,578,559,181,162,1109,0.949826989619377
"336",75,1465,237,46,53,569,562,76,53,1541,56,599,591,177,208,1129,0.94991652754591
"337",87,1485,217,57,108,701,621,43,37,1562,114,737,653,144,181,1103,0.951153324287653
"338",100,1537,290,42,126,860,577,40,18,1606,132,899,603,121,182,1079,0.956618464961068
"339",101,1578,286,38,138,878,536,45,26,1660,145,924,564,126,218,1116,0.95021645021645
"340",99,1751,302,64,169,756,612,34,18,1842,178,795,644,117,190,1216,0.950943396226415
"341",92,1502,245,34,134,795,625,21,22,1580,141,836,657,145,194,1089,0.950956937799043
"342",80,1408,245,36,119,570,777,62,49,1481,125,600,817,150,190,1008,0.95
"343",89,1466,270,39,107,525,636,35,48,1552,113,556,673,156,183,1050,0.944244604316547
"344",73,1511,257,43,129,688,694,54,32,1589,136,724,730,185,171,1082,0.950276243093923
"345",88,1464,254,41,144,744,771,45,18,1540,151,783,811,143,147,1025,0.950191570881226
"346",86,1452,243,34,161,656,777,31,22,1527,169,690,817,157,188,1014,0.950724637681159
"347",83,1404,241,32,163,671,863,31,23,1477,171,706,908,153,181,968,0.95042492917847
"348",79,1404,261,29,131,659,852,72,26,1477,138,693,896,137,176,983,0.950937950937951
"349",68,1430,246,34,130,600,839,36,29,1504,137,631,883,147,164,1020,0.950871632329635
"350",76,1401,251,37,112,647,847,56,36,1401,112,647,847,143,140,1001,1
"351",76,1412,249,34,172,478,960,27,16,1421,173,481,966,133,120,957,0.993762993762994
"352",72,1425,253,29,186,504,917,18,16,1425,186,504,917,136,123,957,1
"353",62,1378,244,40,165,607,964,47,24,1378,165,607,964,159,129,929,1
"354",72,1318,228,44,145,542,1020,35,24,1318,145,542,1020,153,153,901,1
"355",92,1394,216,39,158,522,1020,68,59,1394,158,522,1020,142,142,981,1
"356",86,1253,207,17,125,582,974,76,62,1253,125,582,974,128,147,904,1
"357",87,1381,234,37,197,658,923,41,47,1381,197,658,923,157,178,913,1
"358",85,1360,246,28,161,552,871,51,34,1360,161,552,871,116,149,925,1
"359",89,1472,235,30,147,581,799,114,45,1472,147,581,799,127,162,1060,1
"360",84,1449,236,31,109,569,811,104,58,1449,109,569,811,145,156,1073,1
"361",96,1519,288,45,136,572,750,67,59,1538,138,579,759,137,144,1050,0.987910189982729
"362",83,1448,257,53,134,500,832,95,70,1448,134,500,832,139,148,1004,1
"363",98,1484,268,46,171,578,830,74,51,1475,170,574,825,145,170,999,1.00696864111498
"364",92,1587,314,34,196,518,717,61,44,1607,198,524,726,144,168,1043,0.988549618320611
"365",84,1608,301,36,164,481,729,80,49,1628,166,487,738,151,209,1107,0.987679671457906
"366",89,1536,271,31,136,547,736,42,39,1536,136,547,736,121,172,1098,1
"367",78,1512,287,32,142,536,758,30,26,1512,142,536,758,130,168,1051,1
"368",81,1615,292,31,162,562,816,66,27,1615,162,562,816,145,161,1130,1
"369",78,1554,273,26,174,606,825,77,45,1554,174,606,825,110,158,1081,1
"370",83,1571,326,30,108,643,755,56,35,1571,108,643,755,127,162,1107,1
"371",88,1502,298,31,106,598,795,53,52,1502,106,598,795,123,154,1067,1
"372",84,1486,305,25,126,593,820,59,39,1486,126,593,820,116,165,1030,1
"373",73,1343,259,21,84,591,865,44,48,1343,84,591,865,139,170,979,1
"374",80,1451,319,29,114,508,871,73,38,1451,114,508,871,122,155,989,1
"375",76,1462,313,27,169,569,1018,114,54,2060,238,802,1434,114,175,953,0.709476309226933
"376",97,1574,322,35,197,630,1038,111,50,1771,222,709,1168,135,170,1020,0.888575458392102
"377",85,1631,308,31,209,642,1020,91,44,1631,209,642,1020,135,152,1083,1
"378",78,1684,373,32,185,514,1044,68,48,1684,185,514,1044,136,179,1094,1
"379",92,1568,338,35,205,541,1049,72,39,1568,205,541,1049,105,128,990,1
"380",94,1551,334,42,176,597,928,67,39,1551,176,597,928,127,131,999,1
"381",85,1503,316,32,167,611,1019,43,30,1503,167,611,1019,109,120,988,1
"382",83,1502,318,29,199,523,1138,46,35,1511,200,526,1145,114,130,956,0.994296577946768
"383",93,1560,348,33,177,545,944,80,28,1560,177,545,944,104,140,1002,1
"384",95,1667,371,40,238,620,943,88,35,1667,238,620,943,113,130,1018,1
"385",98,1613,373,25,222,659,1189,68,30,1613,222,659,1189,118,129,993,1
"386",95,1579,339,21,199,653,1044,45,12,1579,199,653,1044,109,135,1020,1
"387",86,1510,327,16,192,672,1056,51,23,1510,192,672,1056,66,174,975,1
"390",43,1258,190,77,21,537,746,298,200,2059,34,879,1221,645,112,970,0.610921501706485
"391",102,1640,280,95,68,819,546,517,96,2060,85,1029,686,576,113,1197,0.795918367346939
"392",81,1475,237,89,44,425,700,231,97,1552,46,447,736,297,126,1105,0.950782997762864
"393",75,1437,218,80,38,504,697,265,171,1532,41,537,743,304,110,1101,0.93854748603352
"395",47,1322,205,73,6,178,646,297,201,2612,12,352,1276,796,109,1038,0.505681818181818
"396",88,1556,306,98,23,211,527,481,200,3037,45,412,1029,796,94,1129,0.512135922330097
"397",87,1655,282,91,35,224,440,286,96,3192,68,432,849,608,81,1247,0.518518518518518
"398",87,1767,307,99,13,246,571,170,166,2951,22,411,954,743,129,1348,0.598540145985402
"399",93,1604,238,101,57,314,668,326,96,2341,83,458,975,676,100,1208,0.685589519650655
"400",55,1418,216,72,33,259,550,231,201,2051,48,375,796,671,140,1097,0.690666666666667
"401",93,1662,228,114,42,616,453,334,200,2040,52,756,556,652,97,1278,0.814814814814815
"402",53,1426,169,132,25,224,685,321,171,2382,42,374,1144,894,83,1100,0.598930481283422
"403",104,1352,161,144,60,294,606,373,193,2028,90,441,909,650,52,987,0.666666666666667
"404",53,1316,229,57,8,73,423,165,79,2600,16,144,836,800,83,1022,0.506944444444444
"405",91,1400,251,100,14,147,457,403,193,2700,27,284,881,636,100,1035,0.517605633802817
"406",69,1535,231,75,14,255,432,213,200,2960,27,492,833,671,131,1215,0.518292682926829
"407",83,1415,275,79,40,241,516,240,163,2795,79,476,1019,701,140,1021,0.506302521008403
"408",92,1423,307,63,13,232,625,414,171,2377,22,387,1044,650,86,1040,0.599483204134367
"409",51,1351,213,71,23,246,833,499,193,1954,33,356,1205,741,83,1044,0.691011235955056
"412",128,2273,322,79,20,172,110,275,96,5579,49,422,270,692,81,1852,0.407582938388626
"413",71,1738,217,82,0,157,305,212,163,4772,0,431,837,859,118,1439,0.364269141531323
"414",81,1828,246,54,8,238,424,170,102,4936,22,643,1145,821,100,1520,0.370139968895801
"415",94,1657,342,66,6,150,603,499,171,3398,12,308,1237,781,107,1243,0.487012987012987
"417",108,1770,303,69,23,270,432,237,163,3414,44,521,833,596,104,1375,0.518234165067178
"418",106,1720,403,104,29,274,505,481,193,3317,56,528,974,725,104,1184,0.518939393939394
"420",90,1701,234,72,205,382,678,246,82,2460,297,553,981,861,104,1190,0.690777576853526
"423",95,1576,238,131,107,545,536,511,201,2110,143,730,718,632,127,1100,0.746575342465753
"424",92,1441,176,114,92,348,676,344,96,1729,110,418,811,500,104,1059,0.832535885167464
"425",82,1564,226,81,97,636,633,298,201,1919,119,781,777,568,71,1160,0.814340588988476
"426",98,1480,191,106,72,631,548,286,201,1776,86,757,658,476,86,1111,0.833553500660502
"427",78,1318,165,102,29,474,535,259,201,1462,32,526,594,470,86,1022,0.901140684410646
"429",90,1659,230,123,43,518,367,420,171,2100,54,656,464,464,82,1263,0.789634146341463
"430",72,1664,232,119,47,528,389,324,96,2042,58,648,477,484,114,1266,0.814814814814815
"431",92,1545,189,91,19,514,426,238,201,1669,21,555,460,445,132,1246,0.926126126126126
"432",82,1563,189,90,30,444,374,270,171,1711,33,486,409,468,107,1254,0.91358024691358
"433",75,1477,234,59,38,397,443,219,78,1709,44,459,513,484,113,1146,0.864923747276688
"434",62,1457,178,71,21,366,620,238,163,1698,24,427,723,392,101,1187,0.857142857142857
"435",80,1419,155,47,7,417,668,263,163,1678,8,493,790,368,131,1210,0.845841784989858
"436",96,1526,224,73,11,495,664,304,193,1791,13,581,842,369,92,1218,0.85197934595525
"437",98,1370,166,66,23,316,676,240,171,1451,24,335,834,299,94,1115,0.943283582089552
"438",97,1322,166,87,13,474,635,283,193,1400,14,502,708,260,105,1056,0.944223107569721
"439",124,1403,193,76,21,477,568,302,200,1495,22,508,742,203,107,1113,0.938976377952756
"440",114,1305,173,51,14,464,504,250,171,1391,15,495,774,225,117,1067,0.937373737373737
"441",104,1333,206,59,20,440,781,223,123,1402,21,463,928,217,80,1048,0.950323974082073
"442",110,1299,215,64,21,445,639,198,152,1375,22,471,611,258,101,999,0.9447983014862
"443",109,1402,230,88,36,570,527,182,106,1475,38,600,554,241,116,1048,0.95
"444",97,1404,229,106,57,615,649,225,200,1477,60,647,683,274,120,1012,0.950540958268934
"445",98,1510,265,97,46,605,664,177,122,1631,50,653,717,269,135,1102,0.926493108728943
"446",93,1365,206,102,62,587,671,192,117,1445,66,622,710,275,112,995,0.943729903536977
"447",82,1293,209,78,44,527,607,173,74,1360,46,554,639,326,92,962,0.951263537906137
"448",71,1310,205,59,49,422,701,141,67,1387,52,447,742,293,110,997,0.94407158836689
"449",105,1440,206,67,26,450,431,200,186,1808,33,565,541,236,114,1141,0.79646017699115
"450",87,1358,192,67,24,345,415,174,82,1571,28,399,480,215,101,1075,0.864661654135338
"451",68,1644,248,59,39,363,396,74,103,1741,41,384,419,176,137,1298,0.9453125
"452",84,1645,261,75,44,552,470,102,114,1730,46,581,494,212,162,1265,0.950086058519793
"453",87,1595,256,55,95,479,510,190,150,1678,100,504,536,219,151,1189,0.950396825396825
"454",86,1502,219,62,70,497,552,145,158,1590,74,526,584,231,162,1151,0.944866920152091
"455",72,1550,267,74,90,418,494,99,74,1631,95,440,520,208,169,1119,0.95
"456",86,1528,306,52,69,468,470,89,54,1607,73,492,494,170,183,1101,0.951219512195122
"457",90,1594,282,67,78,509,521,69,39,1688,83,539,552,192,161,1167,0.944341372912802
"458",96,1536,264,67,97,534,544,87,55,1616,102,562,572,164,185,1108,0.950177935943061
"459",104,1764,330,49,148,628,604,110,35,1880,158,669,644,164,180,1237,0.938714499252616
"460",95,1811,321,76,180,619,668,74,36,1905,189,651,703,179,176,1234,0.950844854070661
"461",88,1660,358,69,88,607,674,52,59,1746,93,639,709,178,148,1145,0.949921752738654
"462",95,1598,311,63,73,419,541,50,45,1681,77,441,569,182,154,1151,0.950113378684807
"463",92,1603,282,47,108,402,676,63,43,1720,116,431,725,147,145,1166,0.932714617169374
"464",105,1663,319,65,93,488,495,69,63,1749,98,513,521,196,171,1186,0.951267056530214
"465",98,1617,266,78,101,566,522,75,73,1701,106,595,549,159,148,1172,0.951260504201681
"466",95,1529,258,75,69,556,507,52,70,1630,74,593,540,144,161,1127,0.937605396290051
"467",88,1480,277,65,96,550,582,64,53,1557,101,579,612,196,133,1042,0.949913644214162
"468",79,1516,286,50,90,507,595,66,40,1595,95,533,626,209,150,1090,0.951219512195122
"469",74,1392,251,26,104,588,705,41,43,1464,109,619,742,189,146,1011,0.949919224555735
"470",72,1431,236,43,79,535,639,66,57,1505,83,563,672,178,178,1073,0.950266429840142
"471",78,1461,219,59,55,608,553,56,84,1547,58,644,586,177,146,1128,0.944099378881988
"472",79,1499,248,48,75,547,548,56,22,1577,79,575,576,195,159,1128,0.951304347826087
"473",103,1541,241,55,60,583,486,73,39,1621,63,613,511,125,130,1185,0.951060358890702
"474",87,1423,236,53,59,620,634,46,36,1507,62,656,671,155,126,1075,0.945121951219512
"475",73,1444,243,50,75,495,608,23,37,1519,79,521,640,158,167,1076,0.950095969289827
"476",67,1475,237,46,92,466,608,41,28,1552,97,490,640,181,160,1100,0.951020408163265
"477",64,1405,223,56,102,417,603,56,50,1478,107,439,634,197,168,1024,0.949886104783599
"478",68,1374,237,50,170,507,812,49,25,1455,180,537,860,210,179,917,0.94413407821229
"479",65,1396,210,49,108,502,681,66,32,1469,114,528,716,190,169,1029,0.950757575757576
"480",81,1481,235,47,113,444,749,53,42,1558,119,467,788,154,129,1086,0.950749464668094
"481",68,1443,215,60,144,541,785,52,22,1518,151,569,826,203,148,1024,0.95079086115993
"482",67,1485,241,47,167,503,729,48,33,1562,176,529,767,162,173,1030,0.950850661625709
"483",76,1363,198,58,174,453,853,39,37,1443,184,480,903,156,156,933,0.94375
"484",63,1348,212,53,149,469,816,58,40,1418,157,493,858,150,148,934,0.95131845841785
"485",65,1380,235,33,155,485,1040,29,26,1452,163,510,1094,144,147,957,0.950980392156863
"486",76,1475,218,52,191,512,897,41,24,1552,201,539,944,158,169,1014,0.949907235621521
"487",78,1390,220,46,171,524,958,34,20,1462,180,551,1008,147,149,953,0.950998185117967
"488",63,1360,224,50,125,559,944,54,36,1431,131,588,993,150,140,961,0.950680272108844
"489",67,1435,250,54,185,567,1080,37,26,1510,195,596,1136,193,184,946,0.951342281879195
"490",59,1398,196,56,126,504,1044,78,50,1398,126,504,1044,146,171,1020,1
"491",82,1286,205,44,127,439,1049,68,60,1286,127,439,1049,155,172,910,1
"492",72,1316,202,33,134,532,948,65,47,1316,134,532,948,171,166,947,1
"493",59,1418,203,43,140,457,998,76,47,1418,140,457,998,166,132,1032,1
"494",88,1382,212,49,129,512,918,63,50,1391,130,515,924,122,144,992,0.994174757281553
"495",92,1400,215,40,142,559,928,30,32,1400,142,559,928,136,149,1003,1
"496",84,1424,228,44,179,607,844,39,16,1424,179,607,844,137,146,973,1
"497",83,1401,202,34,128,527,772,44,32,1401,128,527,772,126,150,1037,1
"498",89,1407,215,42,139,591,852,72,49,1471,145,618,890,138,155,1011,0.956310679611651
"499",77,1330,202,21,118,579,860,65,58,1338,119,583,865,158,156,989,0.993138936535163
"500",66,1397,221,42,110,621,857,78,73,1397,110,621,857,199,141,1024,1
"501",75,1419,229,41,95,650,802,67,55,1419,95,650,802,178,152,1054,1
"502",75,1386,216,24,105,490,834,74,74,1386,105,490,834,140,145,1041,1
"503",81,1489,271,37,111,534,796,64,45,1489,111,534,796,153,147,1070,1
"504",79,1461,224,48,72,562,746,110,58,1461,72,562,746,144,154,1117,1
"505",80,1494,250,43,135,478,762,73,52,1494,135,478,762,159,163,1066,1
"506",60,1318,217,46,90,538,961,113,64,2073,142,846,1511,178,162,965,0.635933806146572
"507",73,1436,239,46,102,460,869,132,70,1436,102,460,869,132,110,1049,1
"508",71,1436,272,42,140,470,868,84,40,1436,140,470,868,115,164,982,1
"509",97,1424,241,47,137,571,973,155,66,1433,138,575,979,122,138,999,0.99304347826087
"510",77,1406,240,28,151,565,943,183,49,1415,152,569,949,135,151,987,0.992970123022847
"511",71,1427,261,27,157,514,978,134,63,1445,159,520,990,126,149,982,0.988461538461539
"512",76,1484,246,33,210,507,1071,110,48,1493,211,510,1078,131,155,995,0.994117647058824
"513",77,1481,262,46,113,403,910,120,46,1481,113,403,910,125,128,1060,1
"514",93,1438,235,45,124,472,921,136,57,1438,124,472,921,119,130,1034,1
"515",77,1474,240,36,136,406,869,151,50,1474,136,406,869,122,136,1062,1
"516",78,1412,235,26,161,448,890,125,65,1430,163,454,901,114,122,990,0.986784140969163
"517",84,1521,259,32,161,446,923,100,43,1521,161,446,923,115,162,1069,1
"518",70,1455,271,37,156,522,1075,99,76,2086,224,748,1541,116,158,991,0.697860962566845
"519",82,1479,300,44,178,495,1072,118,42,1664,200,557,1206,129,129,957,0.888689407540395
"520",76,1388,267,19,175,523,1090,108,50,1388,175,523,1090,104,147,927,1
"521",68,1444,269,39,127,451,1003,116,60,1444,127,451,1003,115,117,1009,1
"522",89,1485,248,34,211,597,1215,65,44,1476,210,593,1208,100,106,992,1.00674536256324
"523",67,1411,255,35,189,571,1170,60,44,1411,189,571,1170,139,135,932,1
"524",65,1426,272,23,183,632,1120,93,37,1426,183,632,1120,100,139,948,1
"525",88,1409,268,32,194,577,1077,67,36,1409,194,577,1077,109,113,915,1
"526",67,1351,259,29,200,585,1269,63,21,1351,200,585,1269,114,144,863,1
"527",88,1431,302,24,172,492,1158,73,31,1431,172,492,1158,106,157,933,1
"528",89,1508,308,29,235,489,1080,66,28,1508,235,489,1080,86,126,936,1
"529",79,1506,323,23,194,419,920,65,39,1506,194,419,920,101,136,966,1
"530",66,1496,271,46,166,395,928,121,49,1496,166,395,928,106,122,1013,1
"531",92,1382,239,53,55,547,679,180,150,1454,58,575,714,262,119,1035,0.951304347826087
"532",92,1407,197,82,53,473,629,172,74,1500,56,504,670,242,109,1075,0.938492063492063
"533",89,1550,236,112,37,582,485,326,200,1833,44,688,574,582,102,1165,0.845930232558139
"534",89,1509,206,60,17,497,461,320,171,1824,21,601,557,313,151,1226,0.826955074875208
"535",71,1362,208,58,17,384,635,213,78,1611,20,454,751,351,101,1079,0.845814977973568
"536",98,1293,213,59,12,468,509,207,117,1378,13,499,688,231,68,1009,0.937875751503006
"537",100,1216,163,56,8,486,595,230,200,1305,9,521,660,261,86,989,0.932821497120921
"538",93,1293,160,35,5,452,677,188,98,1387,5,485,760,249,108,1093,0.931958762886598
"539",94,1201,155,44,3,493,604,223,97,1280,3,525,641,248,87,999,0.939047619047619
"540",83,1183,155,60,4,470,745,225,112,1261,4,501,813,263,108,964,0.93812375249501
"541",83,1503,192,99,21,413,461,216,200,1612,23,443,555,274,105,1191,0.932279909706546
"542",83,1214,167,70,26,424,586,166,149,1294,28,452,625,272,111,951,0.938053097345133
"543",74,1268,169,75,20,429,641,176,160,1334,21,451,674,303,95,1004,0.951219512195122
"544",98,1335,171,107,26,613,605,245,193,1404,27,645,636,234,100,1031,0.950387596899225
"545",94,1343,204,105,18,470,622,207,200,1413,19,494,654,216,141,1016,0.951417004048583
"546",105,1348,160,85,19,549,504,230,201,1418,20,578,530,210,123,1084,0.949826989619377
"547",74,1381,178,72,10,490,468,152,62,1804,13,640,611,218,128,1121,0.765625
"548",101,1656,277,103,39,495,371,118,101,1742,41,521,390,204,149,1237,0.950095969289827
"549",65,1587,255,86,37,468,499,102,98,1669,39,492,525,209,163,1209,0.951219512195122
"550",81,1539,256,65,47,507,487,112,88,1619,49,533,512,161,139,1171,0.951219512195122
"551",73,1539,267,60,44,560,482,201,125,1619,46,589,507,190,145,1168,0.950764006791171
"552",70,1601,269,61,43,640,443,146,91,1695,46,678,469,244,144,1228,0.943952802359882
"553",83,1559,315,62,40,696,426,136,93,1640,42,732,448,208,170,1142,0.950819672131147
"554",86,1597,332,64,34,589,403,128,82,1691,36,624,427,170,129,1167,0.943910256410256
"555",74,1517,302,65,38,522,412,95,79,1606,40,553,436,191,139,1112,0.943942133815552
"556",76,1478,243,81,25,493,513,146,86,1555,26,519,540,194,157,1129,0.94990366088632
"557",63,1499,256,79,39,453,465,116,69,1598,42,483,496,203,163,1125,0.937888198757764
"558",65,1574,269,95,66,409,504,78,42,1656,69,430,530,245,143,1144,0.951162790697674
"559",59,1507,252,73,29,511,471,100,41,1596,31,541,499,260,139,1153,0.944547134935305
"560",53,1530,294,60,39,492,414,95,62,1641,42,528,444,286,182,1137,0.931818181818182
"561",72,1564,249,57,46,581,449,46,50,1689,50,627,485,201,154,1212,0.926634768740032
"562",56,1487,253,43,76,602,558,38,29,1585,81,642,595,221,134,1115,0.937694704049844
"563",79,1556,279,45,79,618,432,49,30,1658,84,659,460,155,142,1153,0.937784522003035
"564",87,1713,303,60,64,734,447,71,31,1838,69,787,480,180,187,1286,0.932655654383736
"565",90,1555,295,80,70,578,470,74,36,1636,74,608,494,183,182,1110,0.950657894736842
"566",71,1575,262,60,73,563,535,61,43,1724,80,616,586,213,170,1180,0.913961038961039
"567",89,1526,231,59,67,609,528,119,64,1605,70,641,555,176,147,1169,0.950078003120125
"568",86,1577,250,66,77,522,599,55,63,1659,81,549,630,195,131,1184,0.950819672131147
"569",81,1447,258,49,49,536,501,96,56,1522,52,564,527,189,153,1091,0.950354609929078
"570",72,1330,234,39,27,544,467,125,77,1456,30,595,511,189,158,1030,0.914285714285714
"571",86,1364,203,48,35,590,611,182,92,1435,37,621,643,175,176,1078,0.950080515297907
"572",75,1375,221,58,24,462,471,69,49,1446,25,486,495,193,162,1072,0.950617283950617
"573",77,1446,222,60,24,511,508,85,59,1572,26,556,552,196,151,1140,0.919064748201439
"574",78,1435,217,46,39,527,631,82,67,1510,41,554,664,182,179,1133,0.951263537906137
"575",74,1420,222,43,56,518,554,96,60,1494,59,545,583,163,189,1099,0.95045871559633
"576",54,1389,183,42,59,634,563,49,50,1480,63,676,600,164,188,1105,0.937869822485207
"577",63,1439,181,49,98,580,595,20,23,1514,103,610,626,142,190,1111,0.950819672131147
"578",85,1528,241,67,90,627,551,104,74,1607,95,660,580,159,185,1130,0.95
"579",85,1406,209,40,84,569,548,64,40,1479,88,599,576,129,166,1073,0.94991652754591
"580",94,1415,238,56,78,632,558,77,58,1489,82,665,587,131,151,1043,0.950375939849624
"581",99,1454,214,49,99,635,564,103,61,1530,104,668,593,114,157,1092,0.95059880239521
"582",96,1474,215,38,122,596,626,73,47,1551,128,627,659,117,155,1099,0.950558213716108
"583",89,1485,229,45,135,651,694,74,35,1562,142,685,730,128,168,1076,0.95036496350365
"584",95,1440,219,43,112,666,784,115,54,1515,118,701,825,113,178,1066,0.950071326676177
"585",86,1418,201,44,106,545,704,106,35,1492,112,573,741,119,168,1067,0.951134380453752
"586",99,1394,231,48,102,610,667,119,56,1466,107,642,702,137,148,1013,0.950155763239875
"587",92,1475,255,40,118,596,682,128,50,1552,124,627,717,115,184,1062,0.950558213716108
"588",86,1475,216,46,138,550,612,100,40,1475,138,550,612,128,138,1075,1
"589",85,1415,250,56,92,620,674,76,40,1415,92,620,674,110,153,1017,1
"590",94,1379,208,40,114,571,896,64,28,1379,114,571,896,130,163,1017,1
"591",98,1356,184,40,106,562,902,75,39,1356,106,562,902,122,164,1026,1
"592",95,1354,200,38,125,533,916,50,33,1354,125,533,916,126,156,991,1
"593",83,1235,193,40,87,476,872,153,78,1235,87,476,872,160,149,915,1
"594",89,1209,181,34,89,480,849,124,82,1209,89,480,849,137,149,905,1
"595",67,1233,169,33,71,397,840,90,50,1233,71,397,840,151,152,960,1
"596",68,1346,210,27,112,552,844,54,22,1346,112,552,844,122,163,997,1
"597",56,1394,192,20,123,477,872,53,33,1394,123,477,872,165,187,1059,1
"598",79,1346,185,30,138,562,870,83,65,1346,138,562,870,160,128,993,1
"599",92,1271,179,29,114,538,1042,105,55,1337,120,566,1096,142,143,949,0.950530035335689
"600",77,1400,228,38,111,537,952,83,73,1400,111,537,952,144,165,1023,1
"601",81,1511,228,23,137,525,869,65,54,1530,139,532,880,149,190,1123,0.986842105263158
"602",75,1409,210,38,95,615,805,102,54,1418,96,619,810,141,156,1066,0.993537964458804
"603",64,1419,210,46,73,474,744,121,53,1428,73,477,749,131,156,1090,0.993710691823899
"604",90,1568,254,52,192,559,666,42,44,1568,192,559,666,159,125,1070,1
"605",71,1432,222,41,107,412,629,84,68,1441,108,415,633,139,131,1062,0.992771084337349
"606",74,1524,294,33,129,460,676,98,63,1543,131,466,684,175,144,1068,0.987124463519313
"607",71,1426,258,38,92,404,678,69,55,1444,93,409,686,173,164,1038,0.987775061124694
"608",83,1501,206,41,116,492,792,131,67,2294,177,752,1210,133,173,1138,0.654255319148936
"609",87,1523,266,52,136,533,866,136,58,1523,136,533,866,154,173,1069,1
"610",99,1439,270,42,157,527,888,165,50,1439,157,527,888,120,158,970,1
"611",74,1360,225,38,172,523,883,109,49,1360,172,523,883,122,160,925,1
"612",85,1386,247,37,146,471,843,108,56,1386,146,471,843,111,152,956,1
"613",72,1335,197,34,121,487,940,115,54,1335,121,487,940,117,142,983,1
"614",77,1427,283,36,173,487,971,138,52,1427,173,487,971,115,174,935,1
"615",71,1335,225,35,133,449,914,99,46,1343,134,452,920,155,178,942,0.993362831858407
"616",69,1502,264,36,95,467,878,98,52,1511,96,470,883,152,177,1107,0.993617021276596
"617",94,1393,251,44,106,478,903,140,90,1393,106,478,903,124,169,992,1
"618",87,1464,226,39,139,610,896,134,74,1464,139,610,896,116,151,1060,1
"619",86,1434,269,36,110,622,784,160,57,1434,110,622,784,129,134,1019,1
"620",94,1454,228,44,162,604,834,106,57,1454,162,604,834,112,153,1020,1
"621",96,1624,251,56,173,713,814,110,39,2328,248,1022,1167,113,130,1144,0.697651663405088
"622",77,1594,284,42,164,648,863,124,44,1793,185,729,971,122,147,1104,0.888888888888889
"623",85,1586,284,33,195,701,927,105,41,1586,195,701,927,109,145,1074,1
"624",80,1516,291,38,198,551,916,127,46,1516,198,551,916,140,161,989,1
"625",75,1573,300,37,163,502,815,111,50,1583,164,505,820,137,149,1073,0.994059405940594
"626",95,1615,325,33,216,591,960,119,42,1615,216,591,960,133,190,1041,1
"627",83,1463,300,29,214,520,998,123,59,1463,214,520,998,118,149,920,1
"628",81,1475,289,29,217,555,952,75,31,1475,217,555,952,97,157,940,1
"629",86,1445,303,19,220,519,916,77,29,1445,220,519,916,93,154,903,1
"630",90,1586,291,20,236,502,1056,93,48,1586,236,502,1056,90,145,1039,1
"631",111,1610,192,95,10,207,413,567,96,3260,20,419,836,652,83,1313,0.494033412887828
"632",101,1589,202,122,56,230,431,231,193,2627,93,380,712,595,79,1209,0.605263157894737
"633",101,1541,162,143,54,229,600,337,201,2290,80,340,892,612,104,1182,0.673529411764706
"634",91,1513,156,111,38,221,608,193,163,2188,55,320,879,603,94,1208,0.690625
"635",76,1438,170,112,53,439,743,217,200,1688,62,515,872,681,127,1103,0.852427184466019
"636",97,1542,215,122,44,458,439,632,200,1850,53,550,527,581,83,1161,0.832727272727273
"637",97,1404,160,99,39,417,671,567,201,1697,47,504,811,551,91,1106,0.827380952380952
"638",89,1523,230,112,61,527,596,538,200,1775,71,614,695,513,127,1120,0.858306188925081
"639",95,1478,184,147,33,531,463,383,171,1814,41,652,568,468,102,1114,0.81441717791411
"640",66,1369,175,106,47,490,519,289,171,1619,56,579,614,484,129,1041,0.846286701208981
"641",89,1391,167,81,48,543,512,292,200,1502,52,586,553,434,86,1095,0.926621160409556
"642",82,1512,204,82,37,673,324,301,96,1914,47,852,410,406,103,1189,0.789906103286385
"643",69,1712,279,83,76,633,314,268,171,2133,95,789,391,523,105,1274,0.802281368821293
"644",82,1738,293,131,45,516,310,406,171,2166,56,643,386,470,105,1269,0.80248833592535
"645",93,1609,269,85,27,466,268,238,96,1975,33,572,329,335,133,1228,0.814685314685315
"646",98,1543,221,108,20,485,320,176,97,1645,21,517,341,346,106,1194,0.938104448742747
